node,lng,lat
153,116.3433507,39.9310731
154,116.3473555,39.9310609
155,116.3617734,39.9311321
156,116.366768,39.931361
157,116.3706008,39.9314618
158,116.3738596,39.9316526
159,116.3767229,39.9317342
160,116.373703,39.9466787
161,116.3728766,39.9472312
162,116.3728793,39.9476884
163,116.3724976,39.9483094
164,116.3725177,39.9492989
165,116.3726378,39.9496279
166,116.3875497,39.9477585
167,116.3839776,39.9477155
168,116.309828,39.990832
169,116.326695,39.991455
170,116.3730634,39.9573558
171,116.3733343,39.9600558
172,116.37506,39.9747501
173,116.3674038,39.9858095
174,116.3660573,39.9859732
175,116.4194138,39.9395643
176,116.4269228,39.9396016
177,116.4191892,39.9480266
178,116.427294,39.9393624
179,116.4279687,39.9393765
180,116.455888,39.9400348
181,116.466617,39.9324698
182,116.4558406,39.9323044
183,116.4028883,39.9258827
184,116.449288,39.9399723
185,116.4559674,39.9122122
186,116.4624869,39.9475327
187,116.4559045,39.9457205
188,116.468777,39.9667626
189,116.4731405,39.9706832
190,116.4835284,39.9486397
191,116.4753841,39.9766775
192,116.4558308,39.9274554
193,116.4610619,39.9324533
194,116.4608498,39.9280488
195,116.4313674,39.9255377
196,116.4345463,39.9255603
197,116.4375595,39.925585
198,116.4398707,39.9255822
199,116.44425,39.9255997
200,116.4399335,39.9219408
201,116.4442705,39.9322818
202,116.4443301,39.9399381
203,116.4443437,39.9443334
204,116.4440395,39.9461968
205,116.4703965,39.9527729
206,116.4676898,39.951871
207,116.4651529,39.9510556
208,116.4558862,39.9480762
209,116.4493104,39.9469533
210,116.4597808,39.9586053
211,116.4559093,39.9425347
212,116.4557131,39.9178844
213,116.4558919,39.9143716
214,116.4560984,39.9091455
215,116.4558787,39.9501227
216,116.4516582,39.9542789
217,116.5112294,39.9390847
218,116.4958798,39.9347876
219,116.489314,39.9329221
220,116.4723082,39.9298801
221,116.4721506,39.9297275
222,116.4723397,39.9324953
223,116.4785068,39.9299998
224,116.4771361,39.929981
225,116.4758619,39.9299446
226,116.4645223,39.9434456
227,116.4442578,39.9215777
228,116.4465909,39.920324
229,116.4467117,39.9220574
230,116.4608701,39.9213663
231,116.4856164,39.9142401
232,116.4819791,39.9142795
233,116.4786684,39.9142133
234,116.4755044,39.9142385
235,116.4719157,39.9143575
236,116.4664038,39.9146811
237,116.4634393,39.9152869
238,116.455687,39.9428882
239,116.4556639,39.9332581
240,116.4555012,39.9311798
241,116.4555064,39.9332556
242,116.4555178,39.9359967
243,116.455558,39.9491327
